fits_file,streak_id,status,matched,satellite_name,min_angle_error,start_ra,start_dec,end_ra,end_dec,error,obs_time,candidate_1_name,candidate_1_separation,candidate_1_angle_error,candidate_2_name,candidate_2_separation,candidate_2_angle_error,candidate_3_name,candidate_3_separation,candidate_3_angle_error
frame-r-008095-4-0053,1,Success,TRUE,SAT_01805,2.888315266,322.8237167,-5.343485838,322.9313422,-5.362247748,,2009/10/15 2:11:10,SAT_01805,0.221378546,2.888315266,SAT_20674,2.689034451,5.12426156,SAT_27793,1.118787959,7.095599934
frame-r-008095-5-0086,1,Success,TRUE,SAT_25282,0.93075559,327.747903,-5.338943345,327.9101987,-5.364558663,,2009/10/15 2:30:53,SAT_25282,4.97967436,0.93075559,SAT_26039,2.094857887,4.519978023,SAT_15199,0.702480165,6.006122394
frame-r-008095-5-0086,2,Success,TRUE,SAT_25282,0.787287308,327.7480696,-5.33685514,327.9103322,-5.362880171,,2009/10/15 2:30:53,SAT_25282,4.97967436,0.787287308,SAT_26039,2.094857887,4.663446305,SAT_15199,0.702480165,6.149590676
frame-r-008095-4-0098,1,No match,FALSE,,inf,329.6621758,-6.116348771,329.6126652,-5.896541382,FOVNotMatch,2009/10/15 2:38:02,SAT_10925,2.972760364,27.76814567,SAT_18121,0.614857496,32.71748894,SAT_07084,0.044422454,34.54180712
frame-r-008095-6-0104,1,Success,TRUE,SAT_25282,1.731197261,330.4620549,-5.339357143,330.5162942,-5.347539336,,2009/10/15 2:41:37,SAT_25282,4.948637978,1.731197261,SAT_26039,2.304800073,3.55775022,SAT_15199,2.111732252,5.472302168
frame-r-008095-6-0104,2,Success,TRUE,SAT_25282,2.194012426,330.4611998,-5.34139441,330.4940762,-5.346083771,,2009/10/15 2:41:37,SAT_25282,4.948637978,2.194012426,SAT_26039,2.304800073,3.094935055,SAT_15199,2.111732252,5.009487002
frame-r-008095-6-0113,1,Success,TRUE,SAT_26039,2.320987353,331.8181316,-5.342907077,331.9808154,-5.365894102,,2009/10/15 2:47:00,SAT_26039,1.741612028,2.320987353,SAT_25282,3.736292278,2.781858053,SAT_15199,3.670269941,4.759928906
frame-r-008095-6-0113,2,Success,TRUE,SAT_26039,2.397343229,331.8182945,-5.340643958,331.9809621,-5.363848994,,2009/10/15 2:47:00,SAT_26039,1.741612028,2.397343229,SAT_25282,3.736292278,2.705502177,SAT_15199,3.670269941,4.836284783
frame-r-008095-6-0114,1,Success,TRUE,SAT_26039,2.296098291,331.9684998,-5.342923038,332.1314776,-5.36587971,,2009/10/15 2:47:36,SAT_26039,1.741612028,2.296098291,SAT_25282,3.736292278,2.806747115,SAT_15199,3.670269941,4.735039844
frame-r-008095-6-0114,2,Success,TRUE,SAT_26039,2.403527663,331.9688368,-5.340672214,332.1316182,-5.36391134,,2009/10/15 2:47:36,SAT_26039,1.741612028,2.403527663,SAT_25282,3.736292278,2.699317743,SAT_15199,3.670269941,4.842469217
