fits_file,streak_id,status,matched,satellite_name,min_angle_error,start_ra,start_dec,end_ra,end_dec,error,obs_time,candidate_1_name,candidate_1_separation,candidate_1_angle_error,candidate_2_name,candidate_2_separation,candidate_2_angle_error,candidate_3_name,candidate_3_separation,candidate_3_angle_error
frame-g-001045-3-0201,1,Success,TRUE,SAT_23177,1.400084657,64.08121159,-5.181407885,64.24174762,-5.147582067,,1999/10/14 11:43:06.00,SAT_23177,3.534011568,1.400084657,SAT_15825,5.790597585,5.465766795,SAT_20502,3.376667137,5.492500157
frame-g-001045-3-0202,1,Success,TRUE,SAT_23177,1.280561903,64.23151051,-5.168107649,64.39125248,-5.134101538,,1999/10/14 11:43:42.00,SAT_23177,3.534011568,1.280561903,SAT_15825,5.790597585,5.585289549,SAT_20502,3.376667137,5.612022911
frame-g-001045-3-0203,1,Success,TRUE,SAT_23177,1.262948875,64.38142528,-5.154847998,64.54138263,-5.12074411,,1999/10/14 11:44:18.00,SAT_23177,3.534011568,1.262948875,SAT_15825,5.790597585,5.602902577,SAT_20502,3.376667137,5.629635939
frame-g-001045-3-0205,1,Success,TRUE,SAT_23177,1.151123906,64.68145575,-5.128293679,64.84138621,-5.093868817,,1999/10/14 11:45:30.00,SAT_23177,3.534011568,1.151123906,SAT_15825,5.790597585,5.714727546,SAT_20502,3.376667137,5.741460908
frame-g-001045-3-0205,2,Success,TRUE,SAT_21129,0.213961317,64.83374023,-5.043643413,64.80948611,-5.045706405,,1999/10/14 11:45:30.00,SAT_21129,1.887254641,0.213961317,SAT_21792,1.483318367,0.316831584,SAT_15994,3.1765734,0.50084103
frame-g-001045-5-0208,1,Success,TRUE,SAT_22117,0.613339799,65.07669991,-4.301455559,65.17595062,-4.300375152,,1999/10/14 11:47:17.00,SAT_22117,1.046292576,0.613339799,SAT_22096,4.163627191,0.635898804,SAT_23016,1.979619226,0.656328595
frame-g-001045-3-0211,1,Success,TRUE,SAT_23177,0.867022482,65.58118515,-5.048303448,65.74193761,-5.013422585,,1999/10/14 11:49:05.00,SAT_23177,3.043832904,0.867022482,SAT_10227,0.083477116,3.031022666,SAT_15825,5.740379938,5.845491279
frame-g-001045-3-0212,1,Success,TRUE,SAT_23177,0.831781612,65.73120074,-5.034932785,65.89115164,-5.00012247,,1999/10/14 11:49:40.00,SAT_23177,3.043832904,0.831781612,SAT_10227,0.083477116,2.995781797,SAT_15825,5.740379938,5.880732148
frame-g-001045-3-0213,1,Success,TRUE,SAT_23177,0.705716557,65.88126827,-5.021762917,66.04134051,-4.986557703,,1999/10/14 11:50:16.00,SAT_23177,3.043832904,0.705716557,SAT_10227,0.083477116,2.869716741,SAT_15825,5.740379938,6.006797204
frame-g-001045-3-0218,1,Success,TRUE,SAT_23177,0.396854095,66.63165195,-4.955171898,66.79173785,-4.919752861,,1999/10/14 11:53:15.00,SAT_23177,2.403920161,0.396854095,SAT_15825,5.770921924,6.127806266,SAT_20502,3.350087003,6.146228087
frame-g-001056-2-0179,1,No match,FALSE,N/A,inf,350.9523494,-0.824087299,350.9801283,-0.851660311,FOVNotMatch,1999/10/16 8:31:23.00,SAT_19422,0.41746109,41.07826575,SAT_24829,1.63855984,48.28154058,SAT_12803,5.27649237,54.3128869
frame-g-001056-2-0180,1,No match,FALSE,N/A,inf,351.1021278,-0.677538543,351.2656213,-0.837790336,FOVNotMatch,1999/10/16 8:31:59.00,SAT_19422,0.41746109,41.43937045,SAT_24829,1.63855984,47.92043587,SAT_12803,5.27649237,53.95178219
